"chrom","start","end","degree","closeness","betweenness","Local_cluster_coefficient","Eigenvector_centrality","membership"
"chr3L",140770,141631,2,8.91259125129213e-06,0,0,0,14
"chr3L",141844,142813,2,8.91259125129213e-06,0,0,0,14
"chr3L",224007,225320,8,8.77908350403401e-06,15,0,5.35590012687651e-17,18
"chr3L",457206,457602,3,8.72726074750471e-06,1.5,0,1.40296721016799e-17,19
"chr3L",458727,459112,3,8.72726074750471e-06,1.5,0,1.66935278987127e-17,19
"chr3L",513278,513628,1,8.67540568683623e-06,0,NA,0,15
"chr3L",636099,636600,1,8.72331308530513e-06,0,NA,0,20
"chr3L",637688,638287,1,8.72331308530513e-06,0,NA,0,20
"chr3L",638912,639372,1,8.72331308530513e-06,0,NA,0,20
"chr3L",639556,640845,1,8.72331308530513e-06,0,NA,0,20
"chr3L",732520,732954,1,8.65059087325142e-06,0,NA,0,21
"chr3L",1110486,1111202,2,8.70160164600502e-06,0.5,0,7.20185528395406e-18,22
"chr3L",1107097,1107586,2,8.70160164600502e-06,0.5,0,6.682878821806e-18,22
"chr3L",1301151,1301447,2,8.67608466384038e-06,0,1,1.6867161611593e-18,1
"chr3L",1311014,1311900,2,8.67607826649583e-06,0,1,5.12585593412318e-18,1
"chr3L",1314907,1315424,4,8.67607826649583e-06,0,0.166666666666667,1.32856998562232e-17,1
"chr3L",1440974,1441314,4,9.01866231784413e-06,27,0,5.25019395534585e-17,54
"chr3L",1465113,1465731,2,9.01995020877477e-06,13,0,0,54
"chr3L",1460112,1460466,1,9.01972636553928e-06,0,NA,0,54
"chr3L",1463400,1464055,1,9.01972636553928e-06,0,NA,0,54
"chr3L",1464629,1464932,2,9.01995020877477e-06,20,0,0,54
"chr3L",1517032,1517360,1,8.65045003467347e-06,0,NA,3.88764005786322e-18,23
"chr3L",1746753,1747231,1,8.65056954006635e-06,0,NA,0,24
"chr3L",1784982,1785501,3,8.70121136801992e-06,3,0,9.10836581519427e-17,25
"chr3L",1790707,1791113,1,8.67606351117068e-06,0,NA,0,26
"chr3L",2088100,2088489,1,8.65037047951194e-06,0,NA,7.23713550394467e-18,27
"chr3L",2206147,2206540,1,8.65058620354239e-06,0,NA,2.17988205521271e-19,28
"chr3L",2520054,2520485,2,8.72762881874318e-06,0,0,2.63121167845528e-18,3
"chr3L",2554718,2555020,2,8.67616417689015e-06,1,0,0,29
"chr3L",2731961,2732525,2,8.69935035216927e-06,0.5,0,1.76635401601925e-16,30
"chr3L",2732803,2733145,2,8.69935035216927e-06,0.5,0,1.66822323735151e-16,30
"chr3L",2867494,2867899,1,8.67616552063911e-06,0,NA,3.69237051763343e-19,31
"chr3L",2880701,2881123,1,8.65054942644868e-06,0,NA,0,32
"chr3L",2914093,2914403,1,8.67616414858644e-06,0,NA,1.2340228462945e-19,31
"chr3L",3105947,3106322,1,8.65048899763184e-06,0,NA,2.77071413153231e-18,33
"chr3L",3150477,3150882,2,8.67605268413717e-06,1,0,7.83131091581589e-18,34
