"chr","start","end","name","H3K27Ac.wig","H3K27Me3.wig","H3K4Me1.wig","H3K4Me3.wig","H3K9Ac.wig","H3K27Ac.wig_pvalue","H3K27Ac.wig_difference","H3K27Me3.wig_pvalue","H3K27Me3.wig_difference","H3K4Me1.wig_pvalue","H3K4Me1.wig_difference","H3K4Me3.wig_pvalue","H3K4Me3.wig_difference","H3K9Ac.wig_pvalue","H3K9Ac.wig_difference","cluster.id"
"chr2R",47067,47332,"em_common_peak-1068",-3.77532776042383,1.65998655347849,-3.32667543338003,-1.93739323620929,11.5331839169199,0,"less",0,"more",0,"less",0,"less",0,"more",1
"chr2R",72980,73259,"em_common_peak-1069",-0.96127607577695,-0.43858755711009,-0.737444935350801,-0.15185090693348,-0.0328450580522489,0,"less",0.000336800916182559,"less",0,"less",4.36509853332406e-267,"less",7.79768656048181e-19,"less",1
"chr2R",185261,185740,"em_common_peak-1070",-4.3700213524358,9.35292682147672,2.70985805614274,-5.42677203893339,-0.074433525013884,0,"less",0,"more",1.16727136548909e-250,"more",0,"less",4.13240998572177e-22,"less",1
"chr2R",193318,193593,"em_common_peak-1071",0,0,0,0,1.66109106542391,4.24972429227104e-43,"less",1.06784770744574e-72,"more",0,"less",5.08170005874236e-132,"less",2.15821922091387e-126,"more",1
"chr2R",264528,264900,"em_common_peak-1072",-0.977659541568096,-2.71431257298567,-2.37480241059496,-0.487355479438926,-0.0389805938883833,0,"less",0,"less",0,"less",0,"less",2.66795843311437e-19,"less",1
"chr2R",268404,268642,"em_common_peak-1073",0,0,0,0,0,4.24972429227104e-43,"less",1.06784770744574e-72,"more",0,"less",5.08170005874236e-132,"less",1.91703105755005e-16,"less",1
"chr2R",375407,375601,"em_common_peak-1074",0,0,0,0.891187888504184,2.41048293855986,4.24972429227104e-43,"less",1.06784770744574e-72,"more",0,"less",4.37041924811533e-301,"more",3.95252516672997e-322,"more",1
"chr2R",440084,440517,"em_common_peak-1075",-0.0303866572443759,-3.11370933500757,0.0707470097853585,0.509819637664758,-0.0147723100685746,1.30642136272489e-59,"less",0,"less",0,"less",4.28823242778489e-27,"more",1.69371509219635e-17,"less",1
"chr2R",475296,475730,"em_common_peak-1076",-0.952316709684261,-1.2838969847751,0.129300377275519,0.172412761717757,19.2800757773673,0,"less",0,"less",0,"less",4.27713808677553e-36,"less",0,"more",1
"chr2R",526901,527115,"em_common_peak-1077",-0.392656639259233,2.30492997997394,-0.518611118961309,0.173986898905051,-0.0102268462771591,0,"less",0,"more",0,"less",1.67842864104158e-35,"less",3.60431581278022e-17,"less",1
"chr2R",527552,527943,"em_common_peak-1078",-1.7099935155919,1.03871642525137,-2.38961507057697,0.265098279367212,-0.0281442567016888,0,"less",0,"more",0,"less",8.35033376192456e-10,"less",1.75687414743288e-18,"less",1
"chr2R",587852,588318,"em_common_peak-1079",-2.26327419000371,-3.35427058090369,-2.81081332795418,3.47362926308295,-0.043889515578793,0,"less",0,"less",0,"less",0,"more",1.11983958087041e-19,"less",1
"chr2R",590304,590603,"em_common_peak-1080",-0.624472030145759,-4.36288572821127,-3.80287498146132,-1.40509199244674,51.439267276903,0,"less",0,"less",0,"less",0,"less",0,"more",1
"chr2R",603227,603426,"em_common_peak-1081",1.25447043624611,-0.795963201125079,-1.61926206530423,1.28235724396244,-0.032648597846617,0,"more",1.05845600119668e-99,"less",0,"less",0,"more",8.06826862641811e-19,"less",1
"chr2R",610752,610964,"em_common_peak-1082",0.919580826136512,-0.66646657368438,-0.749331207569475,2.01579403236443,1.26712197032849,0,"more",1.12954845824411e-49,"less",0,"less",0,"more",1.01143088782393e-59,"more",1
"chr2R",656424,656640,"em_common_peak-1083",-0.00155282475099437,-0.00132853647907705,0.00092117364966834,-0.00122038279521435,-0.000462313352912755,7.09578157137798e-44,"less",3.48006977257631e-72,"more",0,"less",6.44110054184694e-133,"less",1.77901897586853e-16,"less",1
"chr2R",689705,690068,"em_common_peak-1084",-2.11033728626809,-2.79209933933621,-1.92676153670153,1.1674938458155,0.696532055197319,0,"less",0,"less",0,"less",0,"more",1.46535208837063e-07,"more",1
"chr2R",740200,740605,"em_common_peak-1085",-1.16066481623681,-0.207306496820845,-1.09730166664795,-0.191649713137737,-0.0161044984709144,0,"less",5.36850638802324e-15,"more",0,"less",2.80934395393197e-310,"less",1.35545941547534e-17,"less",1
"chr2R",747567,747854,"em_common_peak-1086",0.38164311354921,-0.721225943313364,-0.913494922166021,0.328795395774246,-0.014507434849602,1.18905955475719e-71,"more",1.10105959762058e-68,"less",0,"less",0.0828359227556336,"equal",1.77028705037098e-17,"less",1
"chr2R",773392,773714,"em_common_peak-1087",-2.07668121634385,-2.55413670633713,-1.9618324574529,-0.650650088358338,-0.0311287754080828,0,"less",0,"less",0,"less",0,"less",1.04996987344138e-18,"less",1
"chr2R",795415,795755,"em_common_peak-1088",-1.10814225005966,-0.839066732917022,-0.987483882341775,0.381499281376668,-0.0180883904539843,0,"less",2.99944243375936e-120,"less",0,"less",0.0562116041734844,"equal",9.71567176011771e-18,"less",1
"chr2R",816552,816979,"em_common_peak-1089",-0.530338675305105,-0.718818758130506,-0.587766507556945,-0.931850560844748,-0.0157754403165762,0,"less",8.78129035325653e-68,"less",0,"less",0,"less",1.43222670032809e-17,"less",1
"chr2R",875055,875403,"em_common_peak-1090",-5.94056641104214,-6.96739163454881,-4.47591147985069,-2.16192073956921,-0.0889043802514365,0,"less",0,"less",0,"less",0,"less",2.57714830594325e-23,"less",1
"chr2R",937424,937929,"em_common_peak-1091",-3.59425655406708,2.1691994852624,-0.945631620500147,0.672390211098342,-0.0364861024109904,0,"less",0,"more",0,"less",2.38469271439244e-107,"more",4.13315000205113e-19,"less",1
"chr2R",939426,939719,"em_common_peak-1092",-1.32160106350727,-0.0413316718597176,-1.2909522813681,-0.588626255852202,-0.00933602067061987,0,"less",1.33179287016112e-57,"more",0,"less",0,"less",4.17553959835061e-17,"less",1
"chr2R",1055495,1055734,"em_common_peak-1093",-1.19419836711578,-1.59435642579648,-1.5705193777266,-2.11069518022252,-0.0158772763009044,0,"less",0,"less",0,"less",0,"less",1.40802156223533e-17,"less",1
"chr2R",1077625,1077942,"em_common_peak-1094",-2.17070244295532,-2.76780611116909,-1.21715949798447,1.6949060594511,-0.0293698599026963,0,"less",0,"less",0,"less",0,"more",1.42267771853715e-18,"less",1
"chr2R",1115530,1115727,"em_common_peak-1095",-0.859842217395792,-1.17986100591738,-0.849351867150042,3.49458873914381,-0.0097684061610585,0,"less",0,"less",0,"less",0,"more",3.88792558201916e-17,"less",1
"chr2R",1189804,1190319,"em_common_peak-1096",-0.377244790935534,-0.95470706092618,-0.70034570398211,0.823572579796546,-0.015399635900057,0,"less",5.73411564981927e-185,"less",0,"less",9.31587532794497e-231,"more",1.52515713217527e-17,"less",1
"chr2R",1198986,1199294,"em_common_peak-1097",-1.01841667559871,-1.70379856522523,-1.42914432726578,1.68030499436261,-0.0162429759354621,0,"less",0,"less",0,"less",0,"more",1.32438076848868e-17,"less",1
