"chrom","start","end","degree","closeness","betweenness","Local_cluster_coefficient","Eigenvector_centrality","membership"
"chr3R",67993,68379,3,8.40186145206842e-06,3,0.333333333333333,7.93297151043422e-17,13
"chr3R",296781,297402,1,8.35310722969446e-06,0,NA,3.23775079486174e-17,17
"chr3R",464700,465110,2,8.3773074474168e-06,1,0,6.35678681683068e-17,18
"chr3R",652823,653263,1,8.37731606495e-06,0,NA,3.62222480814994e-17,10
"chr3R",822053,822431,5,8.4504896100528e-06,10,0,1.85975660621705e-16,19
"chr3R",1438002,1438533,1,8.35286435478994e-06,0,NA,5.16203804978718e-17,20
"chr3R",1833486,1833951,1,8.35316154467368e-06,0,NA,2.99644338545931e-17,21
"chr3R",2065099,2065401,1,8.40151981893875e-06,0,NA,4.63969883888754e-17,22
"chr3R",2061204,2062096,1,8.40151981893875e-06,0,NA,4.45173784098064e-17,22
"chr3R",2062103,2062285,1,8.40151981893875e-06,0,NA,4.49586741163157e-17,22
"chr3R",2120661,2120964,2,8.37745329035984e-06,1,0,5.62812725011385e-17,23
"chr3R",2467587,2467836,2,8.37735182130883e-06,1,0,6.48330439078153e-17,24
"chr3R",2512806,2513280,1,8.35311757278528e-06,0,NA,3.1981600722897e-17,25
"chr3R",2558907,2559430,1,8.35290854344247e-06,0,NA,4.40634357036308e-17,26
"chr3R",2608575,2608989,1,8.3531484958742e-06,0,NA,3.09249091618048e-17,27
"chr3R",2635510,2635902,2,8.47459238777842e-06,0,0,1.42780598525736e-16,28
"chr3R",2636261,2636797,2,8.47459238777842e-06,0,0,1.38944932690634e-16,28
"chr3R",2638007,2638388,2,8.47459238777842e-06,0,0,1.36537330614031e-16,28
"chr3R",2759529,2759967,1,8.35307365766732e-06,0,NA,3.66198809278948e-17,29
"chr3R",2907013,2907259,1,8.37710160976852e-06,0,NA,4.81306141313504e-17,30
"chr3R",2909236,2909492,1,8.37710160976852e-06,0,NA,4.71304539539179e-17,30
"chr3R",2940703,2940949,1,8.40070688741068e-06,0,NA,1.05372545703828e-16,31
"chr3R",3107773,3108225,1,8.37702398542175e-06,0,NA,4.83519769025798e-17,32
"chr3R",3109268,3109671,1,8.37702398542175e-06,0,NA,4.90439369480167e-17,32
"chr3R",3311237,3312024,3,8.40186952665927e-06,3,0,8.4214283292989e-17,33
"chr3R",3932230,3932601,1,8.35295882818198e-06,0,NA,4.36008938432235e-17,34
"chr3R",3946189,3947074,1,8.35311011835564e-06,0,NA,3.29106725028719e-17,35
"chr3R",3977861,3978642,1,8.35275221051626e-06,0,NA,5.58079068077663e-17,36
"chr3R",4471442,4471843,2,8.50083497292309e-06,6,1,5.87325003074323e-17,67
"chr3R",4495278,4495483,6,8.50088985128534e-06,10,0.0666666666666667,1.45328143278582e-16,67
"chr3R",4493808,4494072,2,8.50075265670823e-06,0,1,7.69627525903612e-17,67
"chr3R",4642792,4644969,1,8.35311513207143e-06,0,NA,3.27159920311973e-17,37
"chr3R",4768320,4768645,2,8.40173075950731e-06,1,0,6.30173410506668e-17,43
"chr3R",5115289,5115804,2,8.37698101026831e-06,1,0,8.84394214627092e-17,38
"chr3R",5226022,5226525,1,8.35288461530942e-06,0,NA,4.94151304159298e-17,39
"chr3R",5257954,5258426,3,8.49852824482885e-06,0,0,1.29505276583011e-16,40
"chr3R",5262301,5262926,3,8.4984890511118e-06,0,0,1.282679650233e-16,40
"chr3R",5270092,5270569,4,8.49873082209891e-06,11,0,1.55736281648869e-16,40
"chr3R",5267495,5268111,3,8.4985600012611e-06,1,0,1.21246221921944e-16,40
"chr3R",5268221,5268688,3,8.4985600012611e-06,1,0,1.23823954338008e-16,40
"chr3R",5271794,5272456,1,8.49226939392135e-06,0,NA,0,40
"chr3R",5402231,5402592,1,8.37745284919754e-06,0,NA,3.01534978777944e-17,41
"chr3R",5404308,5404751,1,8.37745284919754e-06,0,NA,2.9162216906089e-17,41
"chr3R",5442648,5442953,2,8.40186857360473e-06,0,1,5.78895062878753e-17,1
"chr3R",5444922,5445276,5,8.40187359110294e-06,1,0.2,8.28860380687293e-17,1
"chr3R",5447705,5448068,3,8.40187359110294e-06,0,0.666666666666667,7.85558610790298e-17,1
"chr3R",5804783,5805570,2,8.37739033866897e-06,1,0,6.00312944196418e-17,42
"chr3R",5810684,5811585,2,8.40173075950731e-06,1,0,7.52103375951973e-17,43
"chr3R",5812408,5814173,2,8.40173075950731e-06,0,0,7.66368708250743e-17,43
"chr3R",5858819,5859135,1,8.3525284314946e-06,0,NA,6.12469222056595e-17,44
"chr3R",5919791,5920133,1,8.35268211109531e-06,0,NA,6.39174529887009e-17,45
"chr3R",6393443,6393790,1,8.35304416199719e-06,0,NA,3.69215461054449e-17,46
"chr3R",6408430,6408891,3,8.50010422251915e-06,11,0,9.34928040634524e-17,61
"chr3R",6410767,6411258,1,8.45096738664351e-06,0,NA,3.55095875105835e-17,47
"chr3R",6411423,6411897,1,8.45096738664351e-06,0,NA,3.37246840246367e-17,47
"chr3R",6412051,6413114,1,8.45096738664351e-06,0,NA,3.42471034120768e-17,47
"chr3R",6414391,6414949,1,8.45096738664351e-06,0,NA,3.54272802187539e-17,47
"chr3R",6710454,6710863,1,8.353127669248e-06,0,NA,3.01993766060325e-17,48
"chr3R",7185064,7185551,5,8.37650576586991e-06,0,0.1,1,2
"chr3R",7183382,7183895,2,8.37650576586991e-06,0,1,0.56155281280883,2
"chr3R",7184188,7184638,5,8.37650576586991e-06,0,0.1,1,2
"chr3R",7191188,7191534,1,8.35311248189598e-06,0,NA,3.25537402640312e-17,49
"chr3R",7228413,7228866,1,8.35315231375954e-06,0,NA,2.96006674152709e-17,50
"chr3R",7421522,7422130,2,8.42577910653307e-06,0.333333333333333,0,1.05888736620144e-16,51
